timestamp,stop_name,hour,day_of_week,is_weekend,is_peak_hour,historical_avg_demand,weather_factor,recent_waiting_signals,passenger_demand
2026-08-01 00:00:00,Miyapur Metro,0,5,1,0,2.9,CLEAR,0,3
2026-08-01 00:00:00,BHEL,0,5,1,0,1.9,CLEAR,0,2
2026-08-01 00:00:00,Lingampally Station,0,5,1,0,3.4,CLEAR,2,5
2026-08-01 00:00:00,Nallagandla,0,5,1,0,2.2,CLEAR,0,2
2026-08-01 00:00:00,Tellapur,0,5,1,0,2.4,CLEAR,0,2
2026-08-01 00:00:00,Osman Nagar,0,5,1,0,1.4,CLEAR,1,2
2026-08-01 00:00:00,Patancheru,0,5,1,0,1.8,CLEAR,0,2
2026-08-01 00:00:00,HITEC City Metro Stand 2,0,5,1,0,3.6,CLEAR,2,4
2026-08-01 01:00:00,Miyapur Metro,1,5,1,0,2.9,CLEAR,2,4
2026-08-01 01:00:00,BHEL,1,5,1,0,1.9,CLEAR,0,2
2026-08-01 01:00:00,Lingampally Station,1,5,1,0,3.4,CLEAR,2,4
2026-08-01 01:00:00,Nallagandla,1,5,1,0,2.2,CLEAR,0,2
2026-08-01 01:00:00,Tellapur,1,5,1,0,2.4,CLEAR,0,2
2026-08-01 01:00:00,Osman Nagar,1,5,1,0,1.4,CLEAR,0,2
2026-08-01 01:00:00,Patancheru,1,5,1,0,1.8,CLEAR,1,2
2026-08-01 01:00:00,HITEC City Metro Stand 2,1,5,1,0,3.6,CLEAR,3,5
2026-08-01 02:00:00,Miyapur Metro,2,5,1,0,2.9,CLEAR,4,4
2026-08-01 02:00:00,BHEL,2,5,1,0,1.9,CLEAR,1,2
2026-08-01 02:00:00,Lingampally Station,2,5,1,0,3.4,CLEAR,2,5
2026-08-01 02:00:00,Nallagandla,2,5,1,0,2.2,CLEAR,1,3
2026-08-01 02:00:00,Tellapur,2,5,1,0,2.4,CLEAR,0,2
2026-08-01 02:00:00,Osman Nagar,2,5,1,0,1.4,CLEAR,0,1
2026-08-01 02:00:00,Patancheru,2,5,1,0,1.8,CLEAR,0,2
2026-08-01 02:00:00,HITEC City Metro Stand 2,2,5,1,0,3.6,CLEAR,0,4
2026-08-01 03:00:00,Miyapur Metro,3,5,1,0,2.9,CLEAR,1,3
2026-08-01 03:00:00,BHEL,3,5,1,0,1.9,CLEAR,0,2
2026-08-01 03:00:00,Lingampally Station,3,5,1,0,3.4,CLEAR,4,5
2026-08-01 03:00:00,Nallagandla,3,5,1,0,2.2,CLEAR,2,3
2026-08-01 03:00:00,Tellapur,3,5,1,0,2.4,CLEAR,2,3
2026-08-01 03:00:00,Osman Nagar,3,5,1,0,1.4,CLEAR,0,2
2026-08-01 03:00:00,Patancheru,3,5,1,0,1.8,CLEAR,2,3
2026-08-01 03:00:00,HITEC City Metro Stand 2,3,5,1,0,3.6,CLEAR,2,5
2026-08-01 04:00:00,Miyapur Metro,4,5,1,0,2.9,CLEAR,3,4
2026-08-01 04:00:00,BHEL,4,5,1,0,1.9,CLEAR,0,2
2026-08-01 04:00:00,Lingampally Station,4,5,1,0,3.4,CLEAR,0,3
2026-08-01 04:00:00,Nallagandla,4,5,1,0,2.2,CLEAR,3,4
2026-08-01 04:00:00,Tellapur,4,5,1,0,2.4,CLEAR,0,3
2026-08-01 04:00:00,Osman Nagar,4,5,1,0,1.4,CLEAR,0,2
2026-08-01 04:00:00,Patancheru,4,5,1,0,1.8,CLEAR,1,2
2026-08-01 04:00:00,HITEC City Metro Stand 2,4,5,1,0,3.6,CLEAR,0,4
2026-08-01 05:00:00,Miyapur Metro,5,5,1,0,11.5,CLEAR,2,13
2026-08-01 05:00:00,BHEL,5,5,1,0,7.7,CLEAR,4,9
2026-08-01 05:00:00,Lingampally Station,5,5,1,0,13.4,CLEAR,2,16
2026-08-01 05:00:00,Nallagandla,5,5,1,0,8.6,CLEAR,3,9
2026-08-01 05:00:00,Tellapur,5,5,1,0,9.6,CLEAR,1,9
2026-08-01 05:00:00,Osman Nagar,5,5,1,0,5.8,CLEAR,3,7
2026-08-01 05:00:00,Patancheru,5,5,1,0,7.2,CLEAR,2,7
2026-08-01 05:00:00,HITEC City Metro Stand 2,5,5,1,0,14.4,CLEAR,4,18
2026-08-01 06:00:00,Miyapur Metro,6,5,1,0,11.5,CLEAR,4,14
2026-08-01 06:00:00,BHEL,6,5,1,0,7.7,CLEAR,4,9
2026-08-01 06:00:00,Lingampally Station,6,5,1,0,13.4,CLEAR,5,16
2026-08-01 06:00:00,Nallagandla,6,5,1,0,8.6,CLEAR,3,9
2026-08-01 06:00:00,Tellapur,6,5,1,0,9.6,CLEAR,4,10
2026-08-01 06:00:00,Osman Nagar,6,5,1,0,5.8,CLEAR,2,7
2026-08-01 06:00:00,Patancheru,6,5,1,0,7.2,CLEAR,5,10
2026-08-01 06:00:00,HITEC City Metro Stand 2,6,5,1,0,14.4,CLEAR,3,16
2026-08-01 07:00:00,Miyapur Metro,7,5,1,0,11.5,CLEAR,2,13
2026-08-01 07:00:00,BHEL,7,5,1,0,7.7,CLEAR,4,9
2026-08-01 07:00:00,Lingampally Station,7,5,1,0,13.4,CLEAR,5,16
2026-08-01 07:00:00,Nallagandla,7,5,1,0,8.6,CLEAR,1,10
2026-08-01 07:00:00,Tellapur,7,5,1,0,9.6,CLEAR,3,11
2026-08-01 07:00:00,Osman Nagar,7,5,1,0,5.8,CLEAR,2,6
2026-08-01 07:00:00,Patancheru,7,5,1,0,7.2,CLEAR,1,7
2026-08-01 07:00:00,HITEC City Metro Stand 2,7,5,1,0,14.4,CLEAR,6,18
2026-08-01 08:00:00,Miyapur Metro,8,5,1,1,21.1,CLEAR,7,35
2026-08-01 08:00:00,BHEL,8,5,1,1,14.1,CLEAR,2,29
2026-08-01 08:00:00,Lingampally Station,8,5,1,1,24.6,CLEAR,9,49
2026-08-01 08:00:00,Nallagandla,8,5,1,1,15.8,CLEAR,4,32
2026-08-01 08:00:00,Tellapur,8,5,1,1,17.6,CLEAR,6,44
2026-08-01 08:00:00,Osman Nagar,8,5,1,1,10.6,CLEAR,1,19
2026-08-01 08:00:00,Patancheru,8,5,1,1,13.2,CLEAR,4,22
2026-08-01 08:00:00,HITEC City Metro Stand 2,8,5,1,1,26.4,CLEAR,9,67
2026-08-01 09:00:00,Miyapur Metro,9,5,1,1,21.1,CLEAR,4,36
2026-08-01 09:00:00,BHEL,9,5,1,1,14.1,CLEAR,5,26
2026-08-01 09:00:00,Lingampally Station,9,5,1,1,24.6,CLEAR,6,57
2026-08-01 09:00:00,Nallagandla,9,5,1,1,15.8,CLEAR,5,35
2026-08-01 09:00:00,Tellapur,9,5,1,1,17.6,CLEAR,5,38
2026-08-01 09:00:00,Osman Nagar,9,5,1,1,10.6,CLEAR,2,18
2026-08-01 09:00:00,Patancheru,9,5,1,1,13.2,CLEAR,4,22
2026-08-01 09:00:00,HITEC City Metro Stand 2,9,5,1,1,26.4,CLEAR,6,60
2026-08-01 10:00:00,Miyapur Metro,10,5,1,1,21.1,CLEAR,6,34
2026-08-01 10:00:00,BHEL,10,5,1,1,14.1,CLEAR,6,30
2026-08-01 10:00:00,Lingampally Station,10,5,1,1,24.6,CLEAR,5,49
2026-08-01 10:00:00,Nallagandla,10,5,1,1,15.8,CLEAR,5,33
2026-08-01 10:00:00,Tellapur,10,5,1,1,17.6,CLEAR,3,44
